Item,Count
CARDIOLOGY:,58
Other labs:,75
Medications on transfer:,137
PHYSICAL EXAM ON TRANSFER TO GENERAL MEDICAL FLOOR :,1
ADDITIONAL STUDIES:,11
DIFF:,3
ELECTROLYTES:,14
CEs:,14
OTHER:,26
URINE:,150
DTRs:,28
Relevant Labs:,34
Neurology exam at discharge:,1
Changes made to your medication regimen:,8
Labs on admission:,56
Other pertinent labs:,58
seen by SW and setup with transporation to your dialysis center:,1
YOUR INCISION:,31
PAIN MANAGEMENT:,30
DANGER SIGNS:,21
OUTPATIENT MEDICATIONS:,96
secondary diagnosis:,60
MICROBIOLOGIC DATA:,33
IMAGING STUDIES:,79
TRANSITION OF CARE ISSUES:,73
Please call your doctor or go to the emergency department if:,91
CHANGES IN YOUR MEDICATION RECONCILIATION:,43
of glargine nightly with the follow sliding scale:,1
Oncologic history:,10
CT Chest:,48
CT Abd:,9
Sigmoid colon biopsy:,1
Bone marrow and core biopsy:,1
SKIN:,4
Renal US:,19
PRIMARY DIAGNOSIS:,40
SECONDARY DIAGNOSIS:,140
Peripheral Blood Smear:,36
Aspirate Smear:,36
Biopsy Slides:,2
Discharge instructions:,3
The following medication changes were made:,55
OTHER STUDIES:,15
DIASTOLIC and SYSTOLIC CHF:,1
Medication Changes:,110
PRESCRIPTION MEDICATIONS:,1
Physical exam:,16
She was continued on her MAC triple antibiotic therapy:,1
ENDOCRINE STUDIES:,2
Peritoneal Fluid:,7
Brief MICU Course:,1
Continued course after transfer out of ICU to medical floor:,1
Peritoneal Dialysis Orders:,1
Medication Instructions:,48
CT head on admission:,11
The following changes have been made to your medications:,201
On exam on the neurology floor:,1
Please see flowsheet:,1
You are scheduled for the following appointments:,14
Chemistries:,124
UA:,39
Studies were significant for:,1
on the day of discharge:,1
HISTORY:,26
EVALUATION:,40
ORAL MOTOR EXAM:,18
SWALLOWING ASSESSMENT:,20
RECOMMENDATIONS:,159
hospital course during this admission is as follows:,1
Labs on transfer to floor:,3
Labs on Admission:,22
Hospital Medicine course:,1
MEDICINE:,1
hospital course is organized by problem below:,1
GEN:,7
Meds on admission:,4
Fiberoptic exam:,1
Tracheal window:,1
Exam on Discharge:,86
Cultures:,87
Issues and plan arising from this admission:,1
LABS:,174
Coagulation profile:,10
Chemistry:,98
Misc:,14
Other Studies:,33
ACTIVE ISSUES:,366
CHRONIC ISSUES:,224
The following additions were made to your medications:,4
PROPHYLAXIS:,30
Primary Care:,153
PERTINENT LABS AND STUDIES:,15
Antibiotic course:,2
At Tauton State:,1
ADMISSION DIAGNOSIS:,92
MEDICATIONS UPON ADMISSION TO HOSPITAL:,1
Lab Results on Discharge:,12
Acute Care:,6
Chronic Care:,5
Upon Transfer to the Floors:,1
prior dictation:,1
Cath report:,11
PERTINENT LABS:,131
Additional aspects of her hospital stay were as follows:,1
Iron Studies:,10
Complement Levels:,1
OUTPATIENT ISSUES:,97
OUTPATIENT ISSUE:,5
Extremeties:,6
Cardiac:,60
Blood Gas:,12
Notable Labs:,10
STOOL STUDIES:,3
Additional Medication Instructions:,1
PATH:,7
Antibiotic therapy during her hospital stay was as follows:,1
Other:,92
Appointments to be made:,6
Please call your gastroenterologists:,1
HOSPITAL COURSE BY SYSTEMS:,325
FOLLOWUP:,47
For future communication:,1
BRIEF FLOOR COURSE:,4
also have the following appointments scheduled:,1
MEDS AT HOME:,13
added:,3
Past medical history:,332
Your other appointments are:,1
Your BLOOD PRESSURE MEDICATIONS were adjusted:,1
YOUR DIABETES MEDICATIONS WERE ADJUSTED:,1
NEW MEDICATIONS ON DISCHARGE:,2
grafting and was treated with a variety of antibiotics:,1
attention if you develop:,3
You also have the following appointments:,22
regimen of medications:,1
ICU course significant for:,1
Hospital course by problems:,1
ADMISSION PHYSICAL EXAM:,28
Negative:,1
NOTES:,7
Postoperative course was remarkable for the following:,23
Musculoskeletal Lower Extremity:,21
Medications on transfer to ICU:,3
Endoscopy:,17
diagnosis:,3
Please attend the following appointments:,7
MRI head:,13
Changes to your medications:,109
Please start taking the following medications:,2
Please change the dosing on the following medications:,1
TREATMENTS:,5
PMHx:,32
PENDING:,6
Urine studies:,25
medication based on the following monograph:,1
MEDICATIONS AT THE TIME OF ADMISSION:,12
MEDICATIONS AT THE TIME OF DISCHARGE:,24
MEDICATIONS ON TRANSFER TO THE MEDICAL INTENSIVE CARE UNIT:,3
POSTOPERATIVE DIAGNOSES:,14
PCP follow up:,1
PROCEDURES:,74
procedure:,3
MEDICATION:,13
WHAT TO EXPECT:,4
ACTIVITIES:,18
DAY OF ICU TRANSFER LABS:,1
DAY OF INITIAL GI BLEED LABS:,1
SERIAL HCTS FOLLOWING GI BLEED:,1
MOST RECENT LABS:,2
Plan:,92
Meds on Transfer to CCU:,1
Labwork on discharge:,36
For your congestive heart failure:,3
Other scheduled appointments include:,1
The following changes were made to your home medication regimen:,5
appointments listed below:,15
BMP:,13
LIVER FUNCTION TESTS:,5
Minerals:,2
WBC:,9
LFTs:,105
Enzymes:,8
Elements:,7
TFTs:,12
ABG:,67
Relevant Imaging:,76
Medication changes made on admission:,1
PENDING TESTS AT DISCHARGE:,2
TRANSITIONAL CARE ISSUES:,92
Medications changes:,11
To treat low blood pressure:,1
Refl:,15
SINGLE AP PORTABLE VIEW CHEST:,1
Echo:,156
Medications at home:,26
Special instructions for patient:,19
MRA OF THE HEAD:,73
resume as indicated or instructed by MD:,1
Please go to your scheduled appointments listed below:,2
Extremities:,17
PREOPERATIVE DIAGNOSIS:,18
POSTOPERATIVE DIAGNOSIS:,15
Pneumonia:,5
Hypotension:,8
Pulmonary Edema:,1
Psych:,11
Abdominal Pain:,1
ABX course in ICU:,1
PSYCHIATRIC HISTORY:,14
IMAGES:,19
Neurological Examination:,24
MRA HEAD:,18
colorectal surgery resident review with ED radiologist:,1
Past medical hx:,1
DATA:,177
Labs at discharge:,106
onc hx:,1
Meds on transfer:,109
OPERATIONS:,16
is a systems review of the hospital course:,1
other appointments as follows:,1
CARDIAC:,25
revealed:,7
These include:,1
You can call any of the following for addictions counseling:,1
At Discharge:,103
Heart Failure:,2
Bowel Regimen:,1
PRN:,6
Seconandary:,1
The following changes were made to your medical regimen:,1
MEDICATIONS AT TIME OF ADMISSION:,12
on floor:,1
admission labs:,3
CE Trend:,6
Diff:,10
CT OF THORAX:,2
CT OF ABDOMEN:,3
CT OF PELVIS:,2
OTHER TESTING:,9
develop:,14
Leukocytosis:,2
PLEASE NOTE FOLLOWING MEDICATION CHANGES:,1
MEDS AT ADMISSION:,2
DISCHARGED MEDICATIONS:,1
RUQ US IMPRESSION:,2
LE Dopplers:,2
MICU course:,62
hospitalization:,52
Heart:,5
OSH Imaging:,10
Other Blood Chemistry:,51
on transfer to floor:,2
On transfer to floor:,17
Micro data:,31
drawn:,1
The following appointment is to get another line placed:,1
away if any of the following problems develop:,21
CT angiogram of the chest:,1
The directions for this are:,1
medications:,154
DISCHARGE INSTRUCTIONS FOR THE TRANSFER FACILITY:,1
The following medications were changed:,38
scheduled:,14
Seconday:,10
New Medications:,32
DISCHARGE MEDICATION:,13
His hospital course is summarized as follows:,1
MEDS on transfer:,15
COMPLICATED MEDICAL ICU COURSE:,1
ADMITTING DIAGNOSIS:,34
Your medications have changed as follows:,6
Cardiac Evaluation:,1
below:,68
Onc History:,8
BLOOD:,10
RESPIRATORY FAILURE:,5
FEVER:,3
UTI:,11
DIABETES:,8
RIGHT HIP PAIN:,1
PERIPHERAL NEUROPATHY:,1
CODE STATUS:,7
following important changes:,4
Please note the following changes to your home medications:,1
your previously scheduled appointments:,1
Reports:,127
your list of new medications:,1
the following changes were made to your medication regimen:,7
appointment already exists for you:,1
FINDINGS BRAIN MRI:,5
MRV OF THE HEAD:,15
Her hospital course is as follows bellow:,1
After transfer from the floor:,1
On admission to the MICU:,2
On readmission to the floor:,1
was on:,1
DIAGNOSTIC IMAGING:,1
DIAGNOSIS AT TIME OF DEATH:,3
TRANSITION OF CARE:,54
PERTINENT LABS DURING HOSPITALIZATION:,17
MUSCULOSKELETAL:,12
Meds given in ED:,1
CBCs:,5
cardiac Enzymes:,1
DISCHARGE PLAN:,31
We made the following changes to your home medications:,22
Others:,8
REPORT:,16
PEG placement:,1
CT OF THE CHEST WITH CONTRAST:,3
CT OF THE ABDOMEN WITH CONTRAST:,2
CT OF THE PELVIS WITH CONTRAST:,1
Liver ultrasound:,3
Medications on transfer from OSH:,9
Overall antibiotic regimen included:,1
course:,12
By systems:,7
SUMMARY OF HOSPITAL COURSE BY SYSTEM AND PLAN:,1
OSH CTPA:,1
TRANSITIONS OF CARE:,68
Hospital Course by problem:,3
DIAGNOSIS AT TIME OF THIS DICTATION:,1
Additional instructions from your neurosurgeons are below:,1
HOSPITAL COURSE BY PROBLEM:,57
PROCEDURES PERFORMED:,19
Return to the ER if:,70
Hematology:,82
Changes to your medicines:,1
PE on Discharge:,1
CHEST:,23
HEART:,3
ABDOMEN:,12
RECTAL:,1
EXTREMITIES:,6
NUEROLOGICAL EXAMINATION:,1
The patient is to resume his preoperative medications of:,1
Meds on Transfer:,33
Medications on transfer to the floor:,1
CCU admission exam:,1
IR:,1
the following issues:,3
Echo results:,2
DISCHARGE PHYSICAL EXAM:,349
On admission:,61
CERVICAL SPINE:,10
THORACIC SPINE:,21
LUMBAR SPINE:,17
Pertinent Labs:,62
any of the following symptoms:,7
MedHx:,3
SurgHx:,5
Pelvic in office:,1
Please CHANGE the following medications:,1
Please STOP the following medications:,20
We made the following changes to your home medication list:,14
MEDICATIONS AS AN OUTPATIENT:,11
PHYSICAL EXAMINATION ON TRANSFER TO THE MEDICINE FLOOR:,2
LLE:,5
Cardiac History:,64
Cardiac MR:,2
LENIS:,5
For your heart failure:,4
POST CPB:,75
Medications on Transfer:,68
INJURIES:,23
following occur:,2
The following medication was changed:,4
The following appointments have already been scheduled:,2
MEDS PRIOR TO ADMISSION:,4
imaging:,22
CT Head:,105
CHEST PAIN:,1
MEDICINE FLOOR COURSE:,7
FOLLOW UP APPOINTMENTS:,47
Other appointments:,28
Age:,2
RECENT HISTORY:,2
HEMODYNAMICS:,33
Outside Labs:,1
PHYSICAL EXAM AT DISCHARGE:,14
MEDICATIONS AT TIME OF TRANSFER FROM FLOOR:,1
MICU:,7
CURRENT MEDICATIONS:,50
CAROTID ANGIOGRAPHY:,1
Thoracic spine MRI:,1
See below for changes made to your home medication regimen:,4
were made to your medications:,7
CARDIAC CATH:,38
LABORATORY STUDIES ON TRANSFER FROM INTENSIVE CARE UNIT:,1
EXAM UPON DISCHARGE:,3
medicine service were as follows:,1
FAMILY HISTORY:,17
Hospital Course:,40
Please followup with orthopedics for your patellar fracture:,1
Please call to schedule appointments with your:,45
PREOPERATIVE MEDICATIONS:,112
Discharge PEx:,11
Pending Tests:,4
Plain films pelvis:,1
Please note the following changes to your medications:,89
PRN MEDICATIONS:,2
PERTINENT INTERVAL LABS:,15
     Impression:,1
Primary care:,34
Nephrology:,17
EXAM:,15
Please note the changes that we have made to your medications:,1
STOPPED:,40
You have activity limitations:,1
recommendations are as follows:,1
PROCEDURES DURING ADMISSION:,10
She would also be discharged on:,1
On Transfer from CCU:,1
PFTs:,5
Head CT with contrast:,2
Carotid US:,13
LABS on discharge:,13
CHIEF COMPLAINT:,65
Your medications have been changed as follows:,4
Pertinent labs:,28
the next week:,2
Appts:,1
Nuclear Radiology:,1
Other Past Medical History:,133
Follow up Instructions:,1
physician but probably included his home medications and:,1
DISCHARGE CONDITION:,8
MEDICATIONS ON ARRIVAL AT THE EMERGENCY DEPARTMENT:,1
PHYSICAL EXAMINATION ON ADMISSION TO THE MEDICINE FLOOR:,1
REVIEW BY SYSTEM:,1
DIAGNOSES ON DISCHARGE:,8
done:,2
PNEUMONIA:,4
HYPOXIA:,4
DIABETES MELLITUS:,4
ACUTE ON CHRONIC RENAL FAILURE:,1
DEPRESSION:,3
Medications at time of transfer:,2
Please keep your previously scheduled appointment:,6
Blood cultures:,18
NEW:,4
CHANGED:,24
MEDS ON TRANSFER:,28
Appointment scheduled prior to this admission:,1
AT DISCHARGE:,33
DIAGNOSES:,96
appointments:,35
MRI Brain Appointment:,1
Microbiology data:,7
The following were positive:,1
The following are pending:,1
The following were negative:,1
CSF:,52
Radiologic studies:,5
Hospital course is reviewed below by problem:,28
ID studies:,1
Studies from OSH:,2
follows by systems:,3
MEDICATIONS AT THE TIME OF CONSULT:,1
Biopsy and clot sections:,1
Cytogenetic Studies:,1
Flow Cytometry Studies:,1
Floor course:,38
Medications on admission:,9
intervention:,2
HCT TREND:,7
COAG TREND:,1
Please follow up for a capsule endoscopy:,1
CT ANGIOGRAM OF THE HEAD:,2
General Instructions:,2
ON ADMISSION:,19
DISChARGE LABS:,1
ACUTE DIAGNOSES:,13
CHRONIC DIAGNOSES:,61
MEDICATION INSTRUCTIONS:,19
MEDICATIONS PRIOR TO ADMISSION:,106
Lab values:,1
CBC Diff:,1
ABGs:,28
MICRO DATA:,42
RELEVANT IMAGING DATA:,13
You have the following appts:,1
REGIONAL LEFT VENTRICULAR WALL MOTION:,310
Colonic mucosal biopsies:,1
detail below:,2
active problems:,1
Patient Discharge Instructions:,1
speech and swallow evaluation and the recommendations are below:,1
Troponins:,2
PHYSICAL EXAMINATION AT TIME OF TRANSFER TO THE FLOOR:,1
Active issues:,40
Chronic issues:,36
ORAL PHASE:,16
PHARYNGEAL PHASE:,17
TREATMENT TECHNIQUES:,16
SUMMARY:,36
NEW MEDICATIONS:,31
Past history:,9
SURGICAL COURSE:,20
Chest CT:,32
Relevant Heme:,1
The following is his LP history since admission:,1
additions and changes:,4
You were started on the following medication:,3
NCHCT:,16
Transfer medications:,6
P:,13
Please call or return to the ER if you experience:,2
STOP taking:,3
Medication CHANGES:,3
course by problem:,20
Please note the following changes to your medicines:,3
Location:,17
CT CHEST:,25
assistant:,1
FOR FOLLOW UP:,1
warfarin dosing:,2
call the person below:,1
On transfer from MICU to floor:,1
Vital Signs:,7
OTHER PERTINENT LABS:,57
The following medication changes have been made:,16
small and large intestine:,1
Emergently take to the OR:,1
CTA was obtained:,1
and arteriograms were performed from the following locations:,1
ENDO:,15
PPX:,15
New medicines:,36
Prebypass:,32
Postbypass:,27
Physical Exam upon Transfer to the Floor:,1
Admission Date:,9
Date of Birth:,23
doctors to determine when it is safe to restart:,1
OUTSIDE HOSPITAL RECORDS:,1
carefully:,1
Patient instructions:,7
We started the following medications for your pulmonary disease:,1
days:,2
General medicine floor course:,1
Infectious disease followup appointments:,1
JP Drain Care:,60
ADMISSION:,8
RHEUM:,3
OTHER ISSUES MANAGED ON THIS ADMISSION:,1
MEDICATIONS AT NURSING HOME:,1
MEDS here:,1
HOSPITAL COURSE BY PROBLEMS:,19
Per Plastic Surgery Eval:,1
Injuries:,129
following instructions:,23
follow these instructions:,8
Otherwise normal sigmoidoscopy to rectum Recommendations:,1
     PROTEUS MIRABILIS sensitivities:,1
NIHSS:,7
Vitals:,38
Mental status:,23
Gait:,49
MRI of head:,4
OPERATION:,20
discharged with wound care regimen:,1
MICROBIOLOGY STUDIES:,3
ADDITIONAL STUDIES AND IMAGING:,1
you also have an appointment with Rheumatology:,1
Address:,5
TRANSFER MEDICATIONS:,68
following results:,1
will be discharged home on the following medications:,1
ERCP:,36
The hospital course was complicated by the following issues:,1
Neck:,13
PAST PSYCHIATRIC HISTORY:,14
SUBSTANCE ABUSE HISTORY:,12
physical exam:,1
Preop Labs:,1
Please call to schedule appointments:,15
FMH:,1
Admission PE:,1
PORTABLE AP CHEST:,3
department for any of the following:,3
Please note the following appointments we have made for you:,1
Urology:,19
Onccologic History:,1
of her discharge will be done by systems:,1
Urine Studies:,29
Toxicology:,17
Cerebrospinal Fluid:,3
CHANGES to meds:,1
NEW meds:,1
Provider:,11
Vitals on day of discharge:,1
now you are taking the following medications:,1
Addendum:,2525
Home Meds:,15
coags:,7
CT abdomen:,15
CT GUIDED CHOLECYSTOSTOMY TUBE REVISION:,1
Discharge physical exam:,76
Pertinent Imaging:,25
Chronic Issues:,77
We made the following changes to your medication list:,3
Tylenol OD:,1
Suicide attempt:,1
at:,2
The following appointments have been made for you:,7
Appointment Reminders:,3
OR COURSE:,1
Gall Bladder pathology:,1
Some changes were made to your medications:,5
Wound care was consulted and gave the following recommendations:,1
Brother:,1
no chest pain:,1
Seconadary:,1
Ext:,23
patient to undergo CABG with test results as follows:,1
at home were as follows:,1
Cardiac labs:,8
Neuro exam upon discharge:,1
Nutrition:,24
Pertinent cardiac studies:,1
Gyn Hx:,1
Cardiology appointment:,1
MEDICATIONS ON ARRIVAL:,11
UREMIA:,1
HEMODIALYSIS:,1
CORONARY ARTERY DISEASE:,2
HYPOTENSION:,1
ANEMIA:,4
DIARRHEA:,4
CAROTID BRUIT:,1
FEN:,55
MISC:,23
Please follow up with the previously scheduled appointments:,1
MEDICAL DECISION MAKING:,3
Details are as follows:,1
Given:,1
Final Labs:,2
You were started you on two NEW medications:,1
We CHANGED one of your old medications:,1
Please make sure you follow up with all of your appointments:,1
PERCUTANEOUS CORONARY INTERVENTIONS:,7
Discharge exam:,198
Labs prior to discharge:,30
We made the following changes to your medicines:,196
In the following days please:,1
PRIMARY DISCHARGE DIAGNOSES:,9
Detailed cardiac history:,2
Please also follow up with orthopedics as scheduled:,1
LIPIDS:,6
HEMODYNAMICS PRESSURES:,1
or return to the ED:,1
Per Notes:,1
VS:,28
changes:,35
