Item,Count
Cardiovascular:,60
secondary diagnosis:,60
Urinalysis:,58
CARDIOLOGY:,58
Past surgical history:,58
Other pertinent labs:,58
Other Past History:,58
Recommendations:,57
DIET:,57
OTHER PERTINENT LABS:,57
HOSPITAL COURSE BY PROBLEM:,57
Other medication:,57
Exercise:,57
RECOMMENDATIONS AFTER DISCHARGE:,56
On Admission:,56
Labs on admission:,56
Neurology:,56
RESULTS:,55
The following medication changes were made:,55
Upon Discharge:,55
POSTBYPASS:,55
Contrast:,55
FEN:,55
CHEMISTRIES:,54
ACTIVE DIAGNOSES:,54
HISTORY OF HOSPITAL COURSE BY SYSTEMS:,54
TRANSITION OF CARE:,54
DISCHARGE FOLLOWUP:,53
CSF:,52
MICU COURSE:,52
hospitalization:,52
CT HEAD:,51
Occupation:,51
Other Blood Chemistry:,51
experience:,51
Imaging Studies:,50
CURRENT MEDICATIONS:,50
Pulmonary:,50
        following:,50
The following changes were made to your home medications:,50
PROBLEM LIST:,49
Treatment Frequency:,49
Gait:,49
REFLEXES:,49
ONCOLOGIC HISTORY:,48
CT Chest:,48
Medication Instructions:,48
regimen:,48
Renal:,48
Active Diagnoses:,47
instructions:,47
FOLLOWUP:,47
FOLLOW UP APPOINTMENTS:,47
Post CPB:,46
Please call to schedule appointments with your:,45
CHEMISTRY:,45
CHANGES TO YOUR MEDICATIONS:,45
HPI:,45
HISTORY OF PRESENT ILLNESS:,44
radiographs:,44
Diet:,44
Cardiac Cath:,44
Radiologic Data:,43
PHYSICAL EXAM ON DISCHARGE:,43
MS:,43
CHANGES IN YOUR MEDICATION RECONCILIATION:,43
Already scheduled appointments:,42
MICRO DATA:,42
PICC Line:,41
HEMATOLOGY:,41
Note:,41
FINAL DISCHARGE DIAGNOSES:,41
TRANSITIONAL CARE:,41
Inactive Issues:,41
REVIEW OF HOSPITAL COURSE BY SYSTEMS:,41
EVALUATION:,40
PRIMARY DIAGNOSIS:,40
Transitional:,40
Emergency  Department for any of the following:,40
EXAM ON DISCHARGE:,40
OTHER MEDICAL HISTORY:,40
START:,40
NEUROLOGIC EXAMINATION:,40
STOPPED:,40
Endocrine:,40
Active issues:,40
Hospital Course:,40
CTA chest:,39
MICU Course:,39
On transfer:,39
RELEVANT LABS:,39
URINE STUDIES:,39
UA:,39
MPRESSION:,39
TEE:,39
MENTAL STATUS:,39
Clot Section and Biopsy Slides:,38
as follows:,38
Floor course:,38
You will be starting some new medications:,38
The following medications were changed:,38
Exam upon discharge:,38
CARDIAC CATH:,38
LFTS:,38
Vitals:,38
DISCHARGE PHYSICAL:,38
Neurologic Exam:,37
ICU Course:,37
Echocardiogram:,37
New medicines:,36
Peripheral Blood Smear:,36
SUMMARY:,36
Aspirate Smear:,36
Chronic issues:,36
ERCP:,36
Labwork on discharge:,36
CHEM:,36
Primary:,36
PROBLEMS DURING HOSPITAL STAY:,35
CARDIAC HISTORY:,35
appointments:,35
ACTIVE ISSUES BY PROBLEM:,35
Esophagus:,35
changes:,35
during this admission:,35
Micro Data:,35
ADMITTING DIAGNOSIS:,34
following medications:,34
Scheduled appointments:,34
MRI:,34
  IMPRESSION:,34
Last Dental Exam:,34
Relevant Labs:,34
Primary care:,34
IRON AND VITAMIN D SUPPLEMENTATION:,34
Prophylaxis:,34
MICROBIOLOGIC DATA:,33
ICU course:,33
Physical Exam on discharge:,33
HEMODYNAMICS:,33
Please note the following changes in your medications:,33
AT DISCHARGE:,33
Trends:,33
RADIOPHARMECEUTICAL DATA:,33
OTHER LABS:,33
Other Studies:,33
Meds on Transfer:,33
ED course:,32
Previously scheduled appointments:,32
Pre CPB:,32
New Medications:,32
Meds:,32
Prebypass:,32
PMHx:,32
SOCIAL HISTORY:,32
Chest CT:,32
MICROBIOLOGY DATA:,32
Respiratory:,32
include:,31
Micro data:,31
DISCHARGE PLAN:,31
Coagulation:,31
CARE AND RECOMMENDATIONS AT DISCHARGE:,31
NEW MEDICATIONS:,31
YOUR INCISION:,31
Labs at Discharge:,31
following changes:,31
NEUROLOGY:,30
CT Torso:,30
Report Comment:,30
CT chest:,30
Labs upon discharge:,30
Cath:,30
PROPHYLAXIS:,30
PAIN MANAGEMENT:,30
Admission:,30
General Drain Care:,30
Labs prior to discharge:,30
Colonoscopy:,30
We have made the following changes to your medication regimen:,30
discharge:,29
YOUR BOWELS:,29
Post Bypass:,29
Active Problems:,29
Urine Studies:,29
Drugs:,28
Admission CXR:,28
ADMISSION PHYSICAL EXAM:,28
Infectious disease:,28
CONDITION ON DISCHARGE:,28
Hospital course is reviewed below by problem:,28
Please note the following medication changes:,28
Skin:,28
DTRs:,28
STARTED:,28
MEDS ON TRANSFER:,28
ABGs:,28
Hospital course by problem:,28
VS:,28
New medications:,28
Other appointments:,28
Pertinent labs:,28
ACUTE CARE:,27
Postbypass:,27
Past Cardiac Procedures:,27
you should NOT resume:,27
CTA Chest:,27
Surgeon:,27
Scheduled Appointments :,27
MEDICATIONS AT DISCHARGE:,27
Medications at home:,26
CXR on admission:,26
Pulm:,26
OTHER:,26
Deep tendon Reflexes:,26
MEDS:,26
SENSORY:,26
Call the office IMMEDIATELY if you have any of the following:,26
HISTORY:,26
The following medications were changed during this admission:,26
ACUTE ISSUES:,26
PENDING LABS:,26
IMMUNIZATIONS RECEIVED:,26
Infectious Disease:,26
Pain:,26
CT CHEST:,25
Urine studies:,25
Other PMH:,25
NICU COURSE BY SYSTEMS:,25
your medications:,25
Qualitative wall motion:,25
Chronic Diagnoses:,25
Pertinent Imaging:,25
LEFT VENTRICULOGRAPHY:,25
Pleural fluid:,25
These foods contain vitamin K:,25
Monitoring:,25
Use of Other medications:,25
CARDIAC:,25
PENDING RESULTS:,24
Medications started:,24
Physical exam on discharge:,24
FLOOR COURSE:,24
Neurological Examination:,24
CAD:,24
CARE RECOMMENDATIONS AT THE TIME OF DISCHARGE:,24
KUB:,24
MEDICATIONS AT THE TIME OF DISCHARGE:,24
admission:,24
Nutrition:,24
Exam:,24
DIET :,24
Discharge Physical:,24
CHANGED:,24
Floor Course:,24
DISCHARGE PHYSICAL EXAMINATION:,24
Transitions of care:,24
MISC:,23
Postoperative course was remarkable for the following:,23
Gastroenterology:,23
PTCA COMMENTS:,23
Ext:,23
following instructions:,23
HEAD CT:,23
HEME:,23
INJURIES:,23
Date of Birth:,23
Mental status:,23
Exam at discharge:,23
Other findings:,23
of the following:,23
Home Medications:,23
PCP:,23
The following changes were made to your medication list:,23
Incision care:,23
Margins:,23
CHEST:,23
OSH:,22
problem:,22
Chronic Problems:,22
Please START the following medications:,22
Imaging studies:,22
TRANSITIONAL:,22
discharge labs:,22
RADIOPHARMACEUTICAL DATA:,22
imaging:,22
Labs on Admission:,22
We made the following changes to your home medications:,22
OPERATION PERFORMED:,22
Transitions of Care:,22
ACTIVE PROBLEMS:,22
BRIEF SUMMARY OF HOSPITAL COURSE:,22
Surgical History:,22
Cardiac Labs:,22
You also have the following appointments:,22
BRAIN MRI:,21
CT torso:,21
CHRONIC CARE:,21
Other Pertinent Labs:,21
OSSEOUS STRUCTURES:,21
Lactate:,21
away if any of the following problems develop:,21
BRIEF HISTORY:,21
Musculoskeletal Lower Extremity:,21
Cardiac Catheterization:,21
FOLLOW UP PLANS:,21
Heme:,21
THORACIC SPINE:,21
STOP:,21
DANGER SIGNS:,21
History of:,21
SURGICAL COURSE:,20
Cardiac Biomarkers:,20
Electrolytes:,20
SWALLOWING ASSESSMENT:,20
Exam at time of discharge:,20
NOTE ON ATTENDING REVIEW:,20
any of the following three criteria:,20
on discharge:,20
data:,20
We made the following changes in your medicines:,20
CARDIOVASCULAR:,20
MEDICATIONS AT TIME OF DISCHARGE:,20
In the ED:,20
course by problem:,20
General instructions:,20
Please STOP the following medications:,20
OPERATION:,20
Special instructions if applicable:,19
Laboratory studies on discharge:,19
IMAGES:,19
any of the following:,19
The following changes have been made to your medication regimen:,19
D:,19
Renal US:,19
Scheduled Appointments:,19
ISSUES OF TRANSITIONS IN CARE:,19
PROCEDURES PERFORMED:,19
HOSPITAL COURSE BY PROBLEMS:,19
Cytology:,19
New Medicines:,19
SURGICAL HISTORY:,19
appointment:,19
LABS ON ADMISSION:,19
CARE AND RECOMMENDATIONS AFTER DISCHARGE:,19
Urology:,19
PE on discharge:,19
MEDICATION INSTRUCTIONS:,19
You have the following appointments scheduled:,19
Relevant labs:,19
Special instructions for patient:,19
BRIEF HOSPITAL COURSE:,19
ON ADMISSION:,19
Please make the following changes to your medication regimen:,19
Inactive issues:,19
CT ABDOMEN:,19
Endo:,19
PAST ONCOLOGIC HISTORY:,18
The following medication changes were recommended:,18
Follow up:,18
Iron studies:,18
Transfer Medications:,18
Medications changed:,18
ACTIVITIES:,18
URINALYSIS:,18
TRANSFER DIAGNOSES:,18
DISCHARGE DIAGNOSIS LIST:,18
Follow up appointments recommended:,18
MEDICATIONS UPON ADMISSION:,18
Blood cultures:,18
ECHOCARDIOGRAM:,18
PHYSICAL EXAMINATION ON ADMISSION:,18
DISCHARGE SUMMARY ADDENDUM:,18
MRA HEAD:,18
CONCLUSIONS:,18
ORAL MOTOR EXAM:,18
PREOPERATIVE DIAGNOSIS:,18
Anemia:,18
We have made the following changes to your home medications:,18
MOTOR:,17
EVENTS:,17
who meet any of the following three criteria:,17
Location:,17
LUMBAR SPINE:,17
Extremities:,17
MEDICATIONS UPON TRANSFER:,17
On Presentation:,17
Toxicology:,17
Nephrology:,17
The following changes to your medications were made:,17
Endoscopy:,17
DIAGNOSED BY:,17
The following medications were started:,17
CT OF THE PELVIS:,17
Procedures:,17
On transfer to floor:,17
PHARYNGEAL PHASE:,17
Rads:,17
Physical Examination:,17
FAMILY HISTORY:,17
Comments:,17
Chem:,17
Please keep the following appointments:,17
TRANSITION ISSUES:,17
CTA CHEST:,17
ED Course:,17
PERTINENT LABS DURING HOSPITALIZATION:,17
Cardiac cath:,17
Problems:,17
Neurological examination:,16
Medications stopped:,16
Electrophysiology:,16
MRI Head:,16
NCHCT:,16
ADMITTING DIAGNOSES:,16
The following medication changes have been made:,16
MRI Brain:,16
Hospital course:,16
LABS AT DISCHARGE:,16
ICU COURSE:,16
electrolytes:,16
REPORT:,16
CE:,16
Discharge examination:,16
Neuro Exam:,16
CAUSE OF DEATH:,16
RUQ US:,16
INFECTIOUS DISEASE:,16
Vascular:,16
TREATMENT TECHNIQUES:,16
MEDICATIONS ON PRESENTATION:,16
ORAL PHASE:,16
Pulmonology:,16
RENAL:,16
We made the following changes to your medication:,16
WOUND:,16
NAME OF PRIMARY PEDIATRICIAN:,16
Physical exam:,16
PREVIOUS BIOPSIES:,16
NEUROLOGIC EXAM:,16
OPERATIONS:,16
Please call to schedule appointments:,15
CT abdomen:,15
PPX:,15
GU:,15
Past Oncologic History:,15
Cardiologist:,15
ENDO:,15
Home Meds:,15
PERTINENT INTERVAL LABS:,15
REASON FOR ADMISSION:,15
Pericardial fluid:,15
Please START taking:,15
EXAM:,15
Chronic:,15
Radiologic Studies:,15
It was decided that she would undergo a:,15
MEDS on transfer:,15
PREBYPASS:,15
EKGs:,15
RESP:,15
TRANSITIONS IN CARE:,15
HABITS:,15
CULTURE DATA:,15
Refl:,15
appointments listed below:,15
OTHER STUDIES:,15
PROCEDURE PERFORMED:,15
medication regimen:,15
PERTINENT LABS AND STUDIES:,15
When you leave the hospital:,15
CT ANGIOGRAPHY OF THE HEAD:,15
MRA OF THE NECK:,15
You have the following appointments:,15
PFI:,15
Secondary Dx:,15
POSTOPERATIVE DIAGNOSIS:,15
MRV OF THE HEAD:,15
ADDENDUM TO DISCHARGE SUMMARY:,15
Cardiac catheterization:,15
MULTIDISCIPLINARY ROUNDS:,15
Final Report:,14
DISCHARGE DIAGNOSES LIST:,14
Misc:,14
Other Medical History:,14
   REASON FOR THIS EXAMINATION:,14
You are scheduled for the following appointments:,14
Cardiac Echo:,14
TEST PERFORMED AT:,14
POSTOPERATIVE DIAGNOSES:,14
PSYCHIATRIC HISTORY:,14
OSH labs:,14
PHYSICAL EXAM AT DISCHARGE:,14
ELECTROLYTES:,14
DISCHARGE STATUS:,14
CATH:,14
SECONDARY DISCHARGE DIAGNOSES:,14
The following changes have been made to your home medications:,14
CVS:,14
Sputum:,14
GENERAL REVIEW OF SYSTEMS:,14
Surgery:,14
develop:,14
PRIMARY DIAGNOSES:,14
Some of your medications were changed during this admission:,14
CEs:,14
NEURO EXAM:,14
scheduled:,14
We are changing your medications as follows:,14
We made the following changes to your home medication list:,14
ISSUES:,14
PULSE EXAM:,14
Oncologic History:,14
CTA HEAD:,14
PAST PSYCHIATRIC HISTORY:,14
CT Abdomen:,13
Your medications were changed as follows:,13
Resp:,13
ADMIT LABS:,13
Video Swallow:,13
MRI HEAD:,13
IRON STUDIES:,13
showed:,13
DIAGNOSTICS:,13
Neurological:,13
The following changes were made in your medications:,13
Discharge Date:,13
Other instructions:,13
you:,13
Neurological exam:,13
ACUTE DIAGNOSES:,13
RELEVANT IMAGING DATA:,13
POST BYPASS:,13
Special Stains:,13
Path:,13
Blood:,13
CT ANGIOGRAM:,13
CT ABD:,13
ALL:,13
CULTURES:,13
PSurgHx:,13
The following changes were made to your medication:,13
Transition Issues:,13
Other PMHx:,13
Follow up appointments:,13
Medications prior to admission:,13
DISCHARGE DISPOSITION:,13
Neck:,13
Rhythm:,13
experience any of the following:,13
On transfer to the floor:,13
CHRONIC ISSUES BY PROBLEM:,13
Other Notable Labs:,13
HOME MEDS:,13
Please keep your previously scheduled appointments:,13
Miscellaneous:,13
Your medications have CHANGED as follows:,13
listed below:,13
Notable studies:,13
Microbiology Data:,13
Home medications:,13
METHOD:,13
SUMMARY OF DATA FROM THE EXERCISE LAB:,13
Post bypass:,13
P:,13
PERTINENT STUDIES:,13
PULM:,13
Events:,13
PHYSICAL EXAM ON ADMISSION:,13
LABS on discharge:,13
CYTOLOGY:,13
BMP:,13
MEDICATION:,13
MEDS AT HOME:,13
addressed:,13
DISCHARGE MEDICATION:,13
MRI head:,13
hospital course by problem is as follows:,13
From OSH:,13
PSurgH:,13
Carotid US:,13
studies:,12
Lab Results on Discharge:,12
LACTATE:,12
Previous appointments:,12
TO DO:,12
TFTs:,12
pertinent laboratory data:,12
NEUROLOGIC:,12
Transitional care:,12
RADS:,12
issues:,12
MEDICATIONS AT THE TIME OF ADMISSION:,12
PRINCIPAL DIAGNOSIS:,12
Mental Status exam:,12
Past Psychiatric History:,12
have:,12
MEDS ON ADMISSION:,12
included:,12
CT OF THE ABDOMEN:,12
Wound care:,12
BLOOD CULTURES:,12
Plan going forward:,12
PHYSICAL EXAMINATION ON DISCHARGE:,12
ABDOMEN:,12
Laboratory:,12
micro:,12
MEDICATIONS AT TIME OF ADMISSION:,12
On the day of discharge:,12
Please START:,12
course:,12
Home meds:,12
DISCHARGE RECOMMENDATIONS:,12
IMMUNIZATIONS:,12
Follow up appointments with infant include:,12
SUBSTANCE ABUSE HISTORY:,12
TECHNIQUE:,12
Blood Cultures:,12
Transitional Care Issues:,12
Iron and vitamin D supplementation:,12
CCU Course:,12
Other Blood Gas:,12
including:,12
Oncology:,12
OTHER PMH:,12
OSH Labs:,12
system:,12
Dispo:,12
Stool:,12
Orthopedics:,12
PENDING STUDIES:,12
Blood Gas:,12
ASSESSMENT:,12
MUSCULOSKELETAL:,12
CHANGES IN MEDICATION:,11
CHEST CT:,11
UTI:,11
Medications changes:,11
Hospital Course by Problem:,11
Microbio:,11
MEDICATIONS AS OUTPATIENT:,11
ADDITIONAL STUDIES:,11
Varicosities:,11
We changed your medications as follows:,11
Lipids:,11
Provider:,11
Discharged Labs:,11
BEDSIDE SWALLOWING EVALUATION:,11
MSK:,11
On the floor:,11
PREVIOUS MEDICAL HISTORY:,11
Cath report:,11
neurologic:,11
NEUROLOGICAL EXAMINATION:,11
Surgical history:,11
ADDENDUM TO HOSPITAL COURSE:,11
Psych:,11
systems:,11
Please STOP:,11
PERTINENT IMAGING:,11
DISCHARGE PE:,11
TOX SCREEN:,11
MEDICATIONS AS AN OUTPATIENT:,11
PREOPERATIVE DIAGNOSES:,11
Primary Diagnosis:,11
ASSESSMENT AND PLAN:,11
CT PELVIS:,11
Other pertinent social history:,11
Sensorimotor:,11
secondary diagnoses:,11
Wound:,11
  Intervals Axes:,11
Other Urine Chemistry:,11
INR trend:,11
The following medications were discontinued:,11
Primary diagnosis:,11
Personal Care:,11
CARE RECOMMENDATIONS AT TIME OF DISCHARGE:,11
ABDOMINAL ULTRASOUND:,11
Labs On Discharge:,11
Diagnoses:,11
    Proximal margin:,11
Recommended immunizations:,11
Gen:,11
INTERIM DIAGNOSES:,11
Your new medications include:,11
Pending:,11
Pertinent Studies:,11
Discharge PEx:,11
MEDICATIONS ON ARRIVAL:,11
CT head on admission:,11
Pending Labs:,11
The following medications were stopped:,11
NOTE:,11
injuries:,11
Changes to medications:,11
Lungs:,11
  Note:,11
FOLLOWUP APPOINTMENTS:,11
Abdomen:,11
DISCHARGE EXAMINATION:,10
the following medications:,10
PERTINENT LABORATORY VALUES ON PRESENTATION:,10
MRA:,10
MEDICATIONS CHANGED THIS ADMISSION:,10
Admit labs:,10
OSH Imaging:,10
PRIMARY CARE:,10
Prior to Discharge:,10
Rheumatology:,10
The following medications were added:,10
Anthropometric measurements upon admission to the NICU:,10
Laboratory Data:,10
Onc Hx:,10
Interval Results:,10
Pertinent studies:,10
Oncologic history:,10
To Do:,10
Labs on transfer:,10
CONTINUATION:,10
Notable Labs:,10
Other Appointments:,10
Discharge Examination:,10
Relevant imaging data:,10
TOX:,10
    Distal margin:,10
Seconday:,10
RUQ ultrasound:,10
INR:,10
Diff:,10
CHANGE:,10
Vascular Surgery:,10
LABS PRIOR TO DISCHARGE:,10
PRIOR MEDICAL HISTORY:,10
labs:,10
Culture data:,10
HYPERTENSION:,10
Pre Bypass:,10
CARE RECOMMENDATIONS AT DISCHARGE:,10
Transition of Care:,10
cardiac enzymes:,10
following medication changes:,10
Physical examination upon discharge:,10
HTN:,10
Neurosurgery:,10
Cardiac Markers:,10
CT TORSO:,10
Minor:,10
Communication:,10
DISPOSITION:,10
Vital signs:,10
At time of discharge:,10
CHANGES to your medications:,10
PROCEDURES DURING ADMISSION:,10
You also have the following appointments scheduled:,10
Activities:,10
VITAL SIGNS:,10
stay:,10
Neurophysiology:,10
PELVIS:,10
Admit Labs:,10
BLOOD:,10
Transfer Meds:,10
There are some changes to your medications:,10
CERVICAL SPINE:,10
Discharge laboratories:,10
Iron Studies:,10
with the following instructions:,10
Discharge Results:,10
ADMISSION PHYSICAL EXAMINATION:,10
TREATMENT HISTORY:,10
the office for advice or go to the emergency room if severe:,10
Coagulation profile:,10
Disposition:,10
We made the following changes to your medication regimen:,10
RELEVENT LABS:,10
Liver:,10
CAR SEAT POSITION SCREENING:,10
CT abd:,9
doctor if these occur:,9
Past Surgical Hx:,9
DM:,9
MEDICATIONS AT TRANSFER:,9
Psychiatry:,9
Renal Ultrasound:,9
CT OF THE CHEST:,9
Genitourinary:,9
We have made the following changes to your medicines:,9
Labs at time of discharge:,9
   Intervals Axes:,9
TRANSFER DIAGNOSIS:,9
Abd CT:,9
Transitional Care:,9
WBC:,9
PHYSICAL EXAMINATION AT DISCHARGE:,9
MAJOR SURGICAL OR INVASIVE PROCEDURES:,9
Physical examination:,9
PERTINENT RESULTS:,9
hospital:,9
occur:,9
MEDICATIONS AT ADMISSION:,9
Labs at OSH:,9
Please call your doctor or return to the ER if you experience:,9
You should START taking:,9
REQUIRED LABORATORY MONITORING:,9
THIS TEST WAS PERFORMED AT:,9
hospital stay:,9
Lipase:,9
MRI brain:,9
Podiatry:,9
Physical Examination on Discharge:,9
complete your recovery with the following instructions:,9
clinic:,9
Hypertension:,9
for:,9
Immunizations received:,9
Radiographic Studies:,9
Assessment:,9
You should STOP taking:,9
You were started on the following new medications:,9
Urine culture:,9
Warning Signs:,9
BONE WINDOWS:,9
The following changes were made to you medications:,9
Diabetes:,9
OTHER TESTING:,9
Lactate Trend:,9
HISTORY OF HOSPITAL COURSE BY SYSTEM:,9
Gastrointestinal:,9
Acute Issues:,9
Pertinent Interval Labs:,9
Surgical Hx:,9
Drain Care:,9
your medication regimen:,9
See below for changes to your home medication regimen:,9
Prior to discharge:,9
LENI:,9
PRIMARY PEDIATRICIAN:,9
You should CONTINUE taking:,9
Other studies:,9
Transition of care:,9
Hct trend:,9
RECOMMENDED FOLLOW UP:,9
FOLLOW UP APPOINTMENTS RECOMMENDED:,9
PRENATAL COURSE:,9
PRE BYPASS:,9
Urine Culture:,9
STAT ADDENDUM:,9
Admission Date:,9
Culture Data:,9
Past history:,9
Meds at home:,9
PRIMARY DISCHARGE DIAGNOSES:,9
